text
Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG,Especialização gratuita em Docência do IFMS abre 70 vagas https://t. co/jpYhozmVWG
eu: tô exausta do ifb  não quero nunca mais pisar nesse lugar eu 5 minutos depois: sem ar de tanto rir da vit e da ana contando história,eu: tô exausta do ifb  não quero nunca mais pisar nesse lugar eu 5 minutos depois: sem ar de tanto rir da vit e da ana contando história
Eu devia 300 reais na biblioteca do IFG e tive que pagar 😑,Eu devia 300 reais na biblioteca do IFG e tive que pagar 😑
não estar com meu trio maravilha vendo a interclasse do ifg = 💔💔💔,não estar com meu trio maravilha vendo a interclasse do ifg = 💔💔💔
lembrando da velha maluca no ifb hoje dizendo que a gente agrediu ela verbalmente depois dela falar a maior atrocidade e se fazer de vítima,lembrando da velha maluca no ifb hoje dizendo que a gente agrediu ela verbalmente depois dela falar a maior atrocidade e se fazer de vítima
Venha conhecer o espaço no site do IFB que é destinado a comemorar nossos 15 anos.  Acesse https://t. co/2ojTwr5MDz https://t. co/qpgGjp5cyV,Venha conhecer o espaço no site do IFB que é destinado a comemorar nossos 15 anos.  Acesse https://t. co/2ojTwr5MDz https://t. co/qpgGjp5cyV
eu indo no ifms - campus dourados rir em cada metro quadrado de la,eu indo no ifms - campus dourados rir em cada metro quadrado de la
Inscrições abertas para 680 vagas em cursos de graduação gratuitos do IFMS https://t. co/5jOubdmkVA,Inscrições abertas para 680 vagas em cursos de graduação gratuitos do IFMS https://t. co/5jOubdmkVA
Agora que percebi o quão importante é falarmos sobre discursos etaristas e como isso vem sendo normalizado  olha esse comentário no post do IFG Gyn.  Estão acusando os mais velhos só porque são velhos! 🤡 https://t. co/Ba6YGCe4qO,Agora que percebi o quão importante é falarmos sobre discursos etaristas e como isso vem sendo normalizado  olha esse comentário no post do IFG Gyn.  Estão acusando os mais velhos só porque são velhos! 🤡 https://t. co/Ba6YGCe4qO
[Últimos dias] Estudantes do Câmpus Goiânia do IFG em situação de vulnerabilidade socioeconômica podem se inscrever em dois editais para requisitarem auxílios financeiros emergenciais ainda neste ano de 2023.   ✳️ As inscrições devem ser feitas por meio do Suap até 18 de dezembro.  https://t. co/CPZHr66LqY,[Últimos dias] Estudantes do Câmpus Goiânia do IFG em situação de vulnerabilidade socioeconômica podem se inscrever em dois editais para requisitarem auxílios financeiros emergenciais ainda neste ano de 2023.   ✳️ As inscrições devem ser feitas por meio do Suap até 18 de dezembro.  https://t. co/CPZHr66LqY
o cafe solidario deve ser coisas mais legais q aconteceu no ifg uma pena q nem todos viveram,o cafe solidario deve ser coisas mais legais q aconteceu no ifg uma pena q nem todos viveram
@tokiizks Eu consegui ser sorteado no ifg  mas agr falta fazer as matrículas  no início de 2024😭🙏,@tokiizks Eu consegui ser sorteado no ifg  mas agr falta fazer as matrículas  no início de 2024😭🙏
professor rafael de fisica do ifms,professor rafael de fisica do ifms
Inscrições abertas para 680 vagas em cursos de graduação gratuitos do IFMS https://t. co/5jOubdmkVA,Inscrições abertas para 680 vagas em cursos de graduação gratuitos do IFMS https://t. co/5jOubdmkVA
Gente o que virou o ensaio fotográfico que eu fiz no lab do IFG pra propaganda institucional em troca de horas complementares?,Gente o que virou o ensaio fotográfico que eu fiz no lab do IFG pra propaganda institucional em troca de horas complementares?
@gabirucu mds a fake da história (nós juntos amassando no ifb sdds,@gabirucu mds a fake da história (nós juntos amassando no ifb sdds
Conversando com uma moça no ônibus eu disse q tenho processo seletivo amanhã 14h da tarde. . .   ela perguntou se era do ifms  aí me pergunto se ela inicialmente achou q eu tô indo pro ensino médio ou já entendeu q é processo seletivo de professor temporário 🧐,Conversando com uma moça no ônibus eu disse q tenho processo seletivo amanhã 14h da tarde. . .   ela perguntou se era do ifms  aí me pergunto se ela inicialmente achou q eu tô indo pro ensino médio ou já entendeu q é processo seletivo de professor temporário 🧐
@prissguerrero1 Vontade de dar aula no ifb,@prissguerrero1 Vontade de dar aula no ifb
No IFG tinhamos uma teoria  casais que se conhecem no IFG técnico não ficam juntos.  Foi comprovado de acordo com a nossa amostra.  Andei percebendo um padrão nos namoros da UFG e as taxas de sucesso  mas ainda preciso de uma amostra maior de formandos.,No IFG tinhamos uma teoria  casais que se conhecem no IFG técnico não ficam juntos.  Foi comprovado de acordo com a nossa amostra.  Andei percebendo um padrão nos namoros da UFG e as taxas de sucesso  mas ainda preciso de uma amostra maior de formandos.
"@infovacvacinas No IFG exigem  assim como na UFG.  Essa última tem até uma equipe para aplicar o ""experimento do capeta""  na hora.   Fui convidado a sair do curso de Sistemas de Informação no início do 3° período por causa disso.   Acabei por desistir de me graduar.","@infovacvacinas No IFG exigem  assim como na UFG.  Essa última tem até uma equipe para aplicar o ""experimento do capeta""  na hora.   Fui convidado a sair do curso de Sistemas de Informação no início do 3° período por causa disso.   Acabei por desistir de me graduar."
a curtida do estagiário gay do ifb no vídeo do thiago tocando na winds of creation  passando mal q ele foi mt rápido,a curtida do estagiário gay do ifb no vídeo do thiago tocando na winds of creation  passando mal q ele foi mt rápido
@niconisnow Acredita que seu caso a gente nem colocou na amostra? Pq o VM estava ainda na graduação aqui na UFG de Ed.  Física (ou formado não sei) e ele era do ano da minha irmã no IFG como técnico.  Tipo vocês se conheceram lá  mas ele já não estudava lá.,@niconisnow Acredita que seu caso a gente nem colocou na amostra? Pq o VM estava ainda na graduação aqui na UFG de Ed.  Física (ou formado não sei) e ele era do ano da minha irmã no IFG como técnico.  Tipo vocês se conheceram lá  mas ele já não estudava lá.
Confira o último vídeo de depoimentos sobre os cursos e a rotina de estudos no IFG Anápolis.  O vídeo faz parte da 2ª edição do projeto Comunica IFG Anápolis   aprovada na seleção do edital nº 04/2023  da Pró-Reitoria de Extensão do IFG.   #ifganapolis #cursosgratuitos https://t. co/pOhcIGnE1y,Confira o último vídeo de depoimentos sobre os cursos e a rotina de estudos no IFG Anápolis.  O vídeo faz parte da 2ª edição do projeto Comunica IFG Anápolis   aprovada na seleção do edital nº 04/2023  da Pró-Reitoria de Extensão do IFG.   #ifganapolis #cursosgratuitos https://t. co/pOhcIGnE1y
E eu que tenho que me apresentar no IFB para fazer o teste de habilidades estando com o siso recém tirado 🤡 Que Deus me proteja.,E eu que tenho que me apresentar no IFB para fazer o teste de habilidades estando com o siso recém tirado 🤡 Que Deus me proteja.
Depois do IFB  eu decorei todos esses e de quebra a porra da minha matrícula  até hoje eu confundo a minha nova matrícula com a antiga,Depois do IFB  eu decorei todos esses e de quebra a porra da minha matrícula  até hoje eu confundo a minha nova matrícula com a antiga
Dps de tanto ter levado esporro do ifg eu fico olhando alguns colegas perguntando coisas q ta no edital e com preguiça de olhar. . . .  Olha c vai ter q aprender e rapido,Dps de tanto ter levado esporro do ifg eu fico olhando alguns colegas perguntando coisas q ta no edital e com preguiça de olhar. . . .  Olha c vai ter q aprender e rapido
📣⏲️Atenção! O Câmpus Goiânia do IFG comunica o funcionamento da unidade durante as férias de servidores e recesso acadêmico neste final de ano letivo de 2023.  Saiba mais: https://t. co/PM3tuzi1ej https://t. co/EtVBTKuTaN,📣⏲️Atenção! O Câmpus Goiânia do IFG comunica o funcionamento da unidade durante as férias de servidores e recesso acadêmico neste final de ano letivo de 2023.  Saiba mais: https://t. co/PM3tuzi1ej https://t. co/EtVBTKuTaN
@andressxc to amiga é que eu passei no ifb da asa norte pra fazer dança ano q vem,@andressxc to amiga é que eu passei no ifb da asa norte pra fazer dança ano q vem
@Flip_ufa e eu q tinha usado minha matrícula do IFB pra senha do meu e-mail mas aí esqueci completamente :),@Flip_ufa e eu q tinha usado minha matrícula do IFB pra senha do meu e-mail mas aí esqueci completamente :)
"""O centro de seleção do IFG informa que não há previsão de horário para as divulgações de resultados"" Foi o suficiente pra eu morrer","""O centro de seleção do IFG informa que não há previsão de horário para as divulgações de resultados"" Foi o suficiente pra eu morrer"
Tô ansiosa pelo resultado da minha última inscrição no IFB pro tecnólogo lá de Sistemas para Internet pq se eu passar  vou fazer pelo menos um semestre pra sentir se é isso mesmo   Se eu não passar  acho que vou me obrigar a estudar pra concurso primeiro,Tô ansiosa pelo resultado da minha última inscrição no IFB pro tecnólogo lá de Sistemas para Internet pq se eu passar  vou fazer pelo menos um semestre pra sentir se é isso mesmo   Se eu não passar  acho que vou me obrigar a estudar pra concurso primeiro
✅ Saiu o resultado preliminar da seleção para Portador de Diploma do IFG.  Os candidatos já podem acessar a página Estude no IFG e conferir todos os detalhes.   ✳️ O prazo para interpor recurso é nesta quarta  dia 20/12.   ➡️ Confira: https://t. co/xeue50pAOZ https://t. co/OwvvAoMdNh,✅ Saiu o resultado preliminar da seleção para Portador de Diploma do IFG.  Os candidatos já podem acessar a página Estude no IFG e conferir todos os detalhes.   ✳️ O prazo para interpor recurso é nesta quarta  dia 20/12.   ➡️ Confira: https://t. co/xeue50pAOZ https://t. co/OwvvAoMdNh
Já pode trocar a bio pra formanda do ifms ou tá cedo ainda,Já pode trocar a bio pra formanda do ifms ou tá cedo ainda
Musga q eu cantei no teste e aptidão do IFG https://t. co/sNWPFtk3Ib,Musga q eu cantei no teste e aptidão do IFG https://t. co/sNWPFtk3Ib
Meu pai fazia isso comigo na porta do IFG  eu morria de vergonha pq ele estacionava na calçada pra me esperar e saia tocando a sirene da viatura e todo mundo no outro dia ficava de papinho sobre.,Meu pai fazia isso comigo na porta do IFG  eu morria de vergonha pq ele estacionava na calçada pra me esperar e saia tocando a sirene da viatura e todo mundo no outro dia ficava de papinho sobre.
🔊 Mais um servidor técnico do IFG Anápolis concluiu o Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT)  oferecido pela rede federal de ensino e que tem o Campus Anápolis como um de seus polos.  Wilsovelton Teles de Jesus  o Velton.,🔊 Mais um servidor técnico do IFG Anápolis concluiu o Mestrado Profissional em Educação Profissional e Tecnológica (ProfEPT)  oferecido pela rede federal de ensino e que tem o Campus Anápolis como um de seus polos.  Wilsovelton Teles de Jesus  o Velton.
passei na prova do ifms 😜✌🏽,passei na prova do ifms 😜✌🏽
@gabyzinhawwz_ tem que ser do IFG msm,@gabyzinhawwz_ tem que ser do IFG msm
📣O Câmpus Goiânia do IFG divulga os resultados finais das chamadas públicas para a concessão de auxílios financeiros do programa de assistência estudantil em caráter emergencial para estudantes do câmpus em situação de vulnerabilidade socioeconômica.  https://t. co/h593Vle0uN https://t. co/ui5D7Qe3f8,📣O Câmpus Goiânia do IFG divulga os resultados finais das chamadas públicas para a concessão de auxílios financeiros do programa de assistência estudantil em caráter emergencial para estudantes do câmpus em situação de vulnerabilidade socioeconômica.  https://t. co/h593Vle0uN https://t. co/ui5D7Qe3f8
Emily não pode sair do IFB,Emily não pode sair do IFB
@MarianaLeticio Amg  no IFB do campus Asa Norte,@MarianaLeticio Amg  no IFB do campus Asa Norte
essa coordenação de curso do ifms vai de 100 a 0 muito rápido,essa coordenação de curso do ifms vai de 100 a 0 muito rápido
@l0l0dastrevas crl biro biro jogando no interclasse do ifms,@l0l0dastrevas crl biro biro jogando no interclasse do ifms
🌲✨ Mensagem do IFG - Câmpus Aparecida de Goiânia para um Natal e um Novo Ano de paz  união e prosperidade a toda a comunidade acadêmica e a todos os que nos acompanham cotidianamente no trabalho por um mundo de aprendizados e justiça social.  https://t. co/uHglfnRjeM,🌲✨ Mensagem do IFG - Câmpus Aparecida de Goiânia para um Natal e um Novo Ano de paz  união e prosperidade a toda a comunidade acadêmica e a todos os que nos acompanham cotidianamente no trabalho por um mundo de aprendizados e justiça social.  https://t. co/uHglfnRjeM
se eu não passar no cemi nem no ifb não sei o que vou fazer,se eu não passar no cemi nem no ifb não sei o que vou fazer
Essas férias do IFG estão me matando! Eu PRECISO ver gente diferente todo dia  me estressar com professor chato e reclamar que não aguento mais o IF  Sem isso  eu não sou nada. . .,Essas férias do IFG estão me matando! Eu PRECISO ver gente diferente todo dia  me estressar com professor chato e reclamar que não aguento mais o IF  Sem isso  eu não sou nada. . .
Eu tinha mt vontade de fazer algo do tipo nos labs do ifg,Eu tinha mt vontade de fazer algo do tipo nos labs do ifg
ano que vem vou ser o garoto mais foda do ifb,ano que vem vou ser o garoto mais foda do ifb
revendo os meninos hj em turma e de repente eu sou de novo a hemilly de 2022 do ifg,revendo os meninos hj em turma e de repente eu sou de novo a hemilly de 2022 do ifg
e pensar q em 2013 eu fazia capa de fanfic no facebook assim aprendendo ps sozinha e fazendo publicidade  arranjando um estagio no ifb e assim conhecendo pessoas q eu vou levar pra vida !!!!!,e pensar q em 2013 eu fazia capa de fanfic no facebook assim aprendendo ps sozinha e fazendo publicidade  arranjando um estagio no ifb e assim conhecendo pessoas q eu vou levar pra vida !!!!!
Destaques do meu ano:  -fui no show das gêmeas  - conheci pessoas incríveis!  - abracei minhas ídolas/ ganhei camarim  - passei no ifg  - entrei na terapia - me afastei da minha mlhr amg  - me decepcionei mt  cm amizades  - me aproximei de pessoas incríveis.,Destaques do meu ano:  -fui no show das gêmeas  - conheci pessoas incríveis!  - abracei minhas ídolas/ ganhei camarim  - passei no ifg  - entrei na terapia - me afastei da minha mlhr amg  - me decepcionei mt  cm amizades  - me aproximei de pessoas incríveis.
passei no ifms e eu ro com medo ememso meso medo medo do ano que vem poren eu realmente espeeo que nao seja um ano chato bosta,passei no ifms e eu ro com medo ememso meso medo medo do ano que vem poren eu realmente espeeo que nao seja um ano chato bosta
Sacanagem da porra o passe do pessoal do IFB não passar.  Sempre esquecidos no churrasco,Sacanagem da porra o passe do pessoal do IFB não passar.  Sempre esquecidos no churrasco
A Blue fazendo o técnico em artes visuais do IFMS centro histórico,A Blue fazendo o técnico em artes visuais do IFMS centro histórico
essa porra do ifb,essa porra do ifb
agora q sai do ifb to c vontade de falar aqui todas as merdas q penso de todo mundo ja q nunca mais vo ver ngm,agora q sai do ifb to c vontade de falar aqui todas as merdas q penso de todo mundo ja q nunca mais vo ver ngm
Estudantes do IFG comemoram nova linha de ônibus em Senador Canedo.     Transporte irá atender alunos  funcionários e também trabalhadores do Polo Empresarial Nova Canaã  que fica às margens da GO-403.     https://t. co/Bj5K2tXuQp,Estudantes do IFG comemoram nova linha de ônibus em Senador Canedo.     Transporte irá atender alunos  funcionários e também trabalhadores do Polo Empresarial Nova Canaã  que fica às margens da GO-403.     https://t. co/Bj5K2tXuQp
@cancelaela Parece de mais alguns professores do mesmo curso só q no IFG,@cancelaela Parece de mais alguns professores do mesmo curso só q no IFG
@giiihzyxs Mas se lá no ifb for coma tá no calendário  vai ser dia 15 de fv,@giiihzyxs Mas se lá no ifb for coma tá no calendário  vai ser dia 15 de fv
Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/C3EKSsJLJG https://t. co/rbQKUZIHR3,Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/C3EKSsJLJG https://t. co/rbQKUZIHR3
Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/5P39MvAq9z https://t. co/bwjNXE9ajK,Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/5P39MvAq9z https://t. co/bwjNXE9ajK
Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/69dyLkuYVQ https://t. co/LfVSjMZyZA,Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/69dyLkuYVQ https://t. co/LfVSjMZyZA
Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/3j7uwZHaDC https://t. co/r4QTiD8FsF,Nova linda de ônibus em Senador Canedo vai atender estudantes do IFG e trabalhadores do Polo Empresarial Nova Canaã. . .   Confira: https://t. co/3j7uwZHaDC https://t. co/r4QTiD8FsF
VSFF CONSEGYI A VAGA DO IFB,VSFF CONSEGYI A VAGA DO IFB
meu Deus passei no ifb quero me matar,meu Deus passei no ifb quero me matar
bglh é se matar  se não fico no obj tb não entro no ifb 🤤,bglh é se matar  se não fico no obj tb não entro no ifb 🤤
Olha essa notícia boa de final de ano 🎉.  Saiu o resultado do sorteio eletrônico do processo seletivo dos cursos técnicos.  Vai lá no site do IFB e dá uma conferida se seu nome está na lista de convocados para matrícula em 1ª chamada🤞🍀.  #VemSerIFB #GoIFB https://t. co/mw4fPyeWQL,Olha essa notícia boa de final de ano 🎉.  Saiu o resultado do sorteio eletrônico do processo seletivo dos cursos técnicos.  Vai lá no site do IFB e dá uma conferida se seu nome está na lista de convocados para matrícula em 1ª chamada🤞🍀.  #VemSerIFB #GoIFB https://t. co/mw4fPyeWQL
eu vou me matar na frente do ifb hj as 14:47 da tarde,eu vou me matar na frente do ifb hj as 14:47 da tarde
Né possível q eu n vou conseguir entrar no ifb  vsfd,Né possível q eu n vou conseguir entrar no ifb  vsfd
não vou dar certo com meu amor pq entrei no ifb  MEU DEUS QUERO CHORAR,não vou dar certo com meu amor pq entrei no ifb  MEU DEUS QUERO CHORAR
"fui procurar no site do IFB se eu consegui entrar ne  e quando eu tava procurando eu achei isso aquiKKKKKKKKKK  ""NORMAL DO PORTUGUES DE OLIVEIRA"" ISSO É UM NOME MESMO? TIPO  DE VERDADE?KKKKKKKKKKK https://t. co/m8Amfq0N2x","fui procurar no site do IFB se eu consegui entrar ne  e quando eu tava procurando eu achei isso aquiKKKKKKKKKK  ""NORMAL DO PORTUGUES DE OLIVEIRA"" ISSO É UM NOME MESMO? TIPO  DE VERDADE?KKKKKKKKKKK https://t. co/m8Amfq0N2x"
Especialização do IFMS abre 200 vagas gratuitas @HoraBrNoticias https://t. co/5Zb0Ibnss6,Especialização do IFMS abre 200 vagas gratuitas @HoraBrNoticias https://t. co/5Zb0Ibnss6
@previsaoastral Q minha amg passe no ifms,@previsaoastral Q minha amg passe no ifms
vou colar e no ifg kskkskssk  ganhando 400 conto todo mês,vou colar e no ifg kskkskssk  ganhando 400 conto todo mês
oi amores  quanto tempo ne?! vim aqui atualizar vocêsKKKKK minha vida tá bemm demaise!! ontem saiu o resultado do IFB (Instituto federal) e eu to na listaaa  ou seja  2024 irei estudar no if,oi amores  quanto tempo ne?! vim aqui atualizar vocêsKKKKK minha vida tá bemm demaise!! ontem saiu o resultado do IFB (Instituto federal) e eu to na listaaa  ou seja  2024 irei estudar no if
@maria73745 @gerhardtzz para  um menino inventado pelo capeta nao jogaria no ifg https://t. co/nbH6pCZyHY,@maria73745 @gerhardtzz para  um menino inventado pelo capeta nao jogaria no ifg https://t. co/nbH6pCZyHY
vou estudar no ifb e fds,vou estudar no ifb e fds
quero muito o ru do ifg pronto logo mas tô torcendo demais pra não ser aquelas bandejas com divisórias ao invés de prato,quero muito o ru do ifg pronto logo mas tô torcendo demais pra não ser aquelas bandejas com divisórias ao invés de prato
-entrar no ifms pra 2024 mas acabei perdendo a vontade  além de que acho que não passei.  conclui esse ano completo  apesar de todas as dificuldades e faltas  passei direto.  tentei pensar em algum curso futuramente para a faculdade  mesmo n tendo nada em mente como algo realmente-,-entrar no ifms pra 2024 mas acabei perdendo a vontade  além de que acho que não passei.  conclui esse ano completo  apesar de todas as dificuldades e faltas  passei direto.  tentei pensar em algum curso futuramente para a faculdade  mesmo n tendo nada em mente como algo realmente-
Metas p 2024: -Me tornar mais empático -Arranjar alguns moots -Ouvir mais música -Ler no mínimo 8 livros -Entrar no IFB 🙏🙏🙏,Metas p 2024: -Me tornar mais empático -Arranjar alguns moots -Ouvir mais música -Ler no mínimo 8 livros -Entrar no IFB 🙏🙏🙏
achei meus materiais de quando eu estudava no IFG e só aquele lugar msm pra fazer uma sala inteira estudar sobre a história da CHANEL,achei meus materiais de quando eu estudava no IFG e só aquele lugar msm pra fazer uma sala inteira estudar sobre a história da CHANEL
Que todo mundo da lista do ifb exploda(to chorando desde o dia 28),Que todo mundo da lista do ifb exploda(to chorando desde o dia 28)
Saiu o resultado do sorteio eletrônico do processo seletivo dos cursos técnicos.  Vai lá no site do IFB e dá uma conferida se seu nome está na lista de convocados para matrícula em 1ª chamada🤞🍀.  #VemSerIFB #GoIFB https://t. co/fwm36lEz4G,Saiu o resultado do sorteio eletrônico do processo seletivo dos cursos técnicos.  Vai lá no site do IFB e dá uma conferida se seu nome está na lista de convocados para matrícula em 1ª chamada🤞🍀.  #VemSerIFB #GoIFB https://t. co/fwm36lEz4G
Fui no ifb  só pra pegar a informação que o certificado é pelo site 🤡,Fui no ifb  só pra pegar a informação que o certificado é pelo site 🤡
@maxmacieldf Cheguei 19h no ponto de ônibus da Qnm 36  pois é frente ao Instituto Federal de Brasília não passa ônibus para a comercial norte.  Até agora nada do circular.  Veja os horários que eram para passar.  Ajuda a a gente  deputado.   Não temos essa linha na via do IFB Taguatinga.  https://t. co/qeiqQumSXy,@maxmacieldf Cheguei 19h no ponto de ônibus da Qnm 36  pois é frente ao Instituto Federal de Brasília não passa ônibus para a comercial norte.  Até agora nada do circular.  Veja os horários que eram para passar.  Ajuda a a gente  deputado.   Não temos essa linha na via do IFB Taguatinga.  https://t. co/qeiqQumSXy
@maxmacieldf Qual a possibilidade de uma linha de ônibus que passa na comercial norte de Taguatinga  passar na via do Instituto Federal de Brasília- campus Taguatinga? Nessa época de chuvas subir para a via paralela do IFB é uma dificuldade tremenda  fora o risco de assalto diariamente.,@maxmacieldf Qual a possibilidade de uma linha de ônibus que passa na comercial norte de Taguatinga  passar na via do Instituto Federal de Brasília- campus Taguatinga? Nessa época de chuvas subir para a via paralela do IFB é uma dificuldade tremenda  fora o risco de assalto diariamente.
Sou aluno do ifb e n temos nem ru,Sou aluno do ifb e n temos nem ru
🔹🔹 No IFG de Itumbiara  as aulas do 1º semestre  para alunos novatos e calouros  terão início no dia 19/02.   Clique aqui para visualizar o calendário acadêmico: https://t. co/bClzW2tlXF  Veja o horário de aula dos cursos técnicos e superiores: https://t. co/NBn5KntidQ https://t. co/B5sg4PyJB1,🔹🔹 No IFG de Itumbiara  as aulas do 1º semestre  para alunos novatos e calouros  terão início no dia 19/02.   Clique aqui para visualizar o calendário acadêmico: https://t. co/bClzW2tlXF  Veja o horário de aula dos cursos técnicos e superiores: https://t. co/NBn5KntidQ https://t. co/B5sg4PyJB1
📚Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas.  ▶️ Saiba mais acessando a notícia no Portal IFG: https://t. co/F9l9TGjfPg https://t. co/DESNVen4Wh,📚Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas.  ▶️ Saiba mais acessando a notícia no Portal IFG: https://t. co/F9l9TGjfPg https://t. co/DESNVen4Wh
📚Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas  em nome próprio ou em representação  inclusive de outras instituições.  https://t. co/GSY29NR4C9,📚Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas  em nome próprio ou em representação  inclusive de outras instituições.  https://t. co/GSY29NR4C9
Jamais imaginei que iria levar um calote do IFG,Jamais imaginei que iria levar um calote do IFG
Ex-aluna do IFB participa autoria de de livro sobre Autismo.  Saiba mais em https://t. co/M4l0PCsgWd https://t. co/UENUK58ymn,Ex-aluna do IFB participa autoria de de livro sobre Autismo.  Saiba mais em https://t. co/M4l0PCsgWd https://t. co/UENUK58ymn
🧑🏾‍💻 Servidores do IFG Câmpus Goiânia podem submeter propostas de projetos de ensino que serão contemplados com recursos financeiros para sua execução durante o primeiro semestre.    📅 As inscrições estão abertas até 27 de fevereiro.   Confira 🔗 https://t. co/8gO3JbdFAD + https://t. co/0fpQH4LWo8,🧑🏾‍💻 Servidores do IFG Câmpus Goiânia podem submeter propostas de projetos de ensino que serão contemplados com recursos financeiros para sua execução durante o primeiro semestre.    📅 As inscrições estão abertas até 27 de fevereiro.   Confira 🔗 https://t. co/8gO3JbdFAD + https://t. co/0fpQH4LWo8
Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas  em nome próprio ou em representação  inclusive de outras instituições.  ▶ Saiba mais: https://t. co/vbcZ8rw4a2 https://t,Aberto novo período para submissão de propostas de publicação da linha editorial Omni.  ✅Servidores e estudantes do IFG podem apresentar propostas  em nome próprio ou em representação  inclusive de outras instituições.  ▶ Saiba mais: https://t. co/vbcZ8rw4a2 https://t
As inscrições serão realizadas pela internet até o dia 30 de janeiro.   Para mais informações acesse o site do IFG Câmpus Itumbiara: https://t. co/tHLtx4uogu https://t. co/Y2UD9xi2gN,As inscrições serão realizadas pela internet até o dia 30 de janeiro.   Para mais informações acesse o site do IFG Câmpus Itumbiara: https://t. co/tHLtx4uogu https://t. co/Y2UD9xi2gN
Eu queria estar agora de uniforme do ifg assistindo calango lango na sessão das onze da manhã de um festival de cinema que eu amo,Eu queria estar agora de uniforme do ifg assistindo calango lango na sessão das onze da manhã de um festival de cinema que eu amo
Especialização do IFMS abre 200 vagas gratuitas @HoraBrNoticias https://t. co/5Zb0IbmUCy,Especialização do IFMS abre 200 vagas gratuitas @HoraBrNoticias https://t. co/5Zb0IbmUCy
No ifg conheci pessoas que são gentis em níveis absurdos  nenhuma dessas pessoas na História.,No ifg conheci pessoas que são gentis em níveis absurdos  nenhuma dessas pessoas na História.
Especialização gratuita em Ensino de Ciências e Matemática do IFMS recebe inscrições https://t. co/XmJnfSKPNQ,Especialização gratuita em Ensino de Ciências e Matemática do IFMS recebe inscrições https://t. co/XmJnfSKPNQ
@lytcas indo te contar essa fofoca quentinha do IFG,@lytcas indo te contar essa fofoca quentinha do IFG
👨🏿‍🍳👩‍💻 Atenção  candidatos aprovados na seleção para os cursos EJA do IFG Câmpus Goiânia! As matrículas começam hoje  dia 8!  😉 Os aprovados deverão procurar a Coordenação de Registros Acadêmicos e Escolares  que fica no prédio anexo  na Rua 75  Centro (em frente ao Câmpus) + https://t. co/soB3nZg5qr,👨🏿‍🍳👩‍💻 Atenção  candidatos aprovados na seleção para os cursos EJA do IFG Câmpus Goiânia! As matrículas começam hoje  dia 8!  😉 Os aprovados deverão procurar a Coordenação de Registros Acadêmicos e Escolares  que fica no prédio anexo  na Rua 75  Centro (em frente ao Câmpus) + https://t. co/soB3nZg5qr
Atenção sorteados para as vagas dos cursos técnicos integrados ao ensino médio do IFG Anápolis: as matrículas começam hoje! Saiba mais na aba de comunicados em nosso site - https://t. co/CmckjC9b7z https://t. co/ydrsSSEBfV,Atenção sorteados para as vagas dos cursos técnicos integrados ao ensino médio do IFG Anápolis: as matrículas começam hoje! Saiba mais na aba de comunicados em nosso site - https://t. co/CmckjC9b7z https://t. co/ydrsSSEBfV
Sou o sexto nome na lista de espera do IFB pro tecnólogo em Sistemas para Internet   Acho bem provável me convocarem em segunda chamada   A pergunta agora é: vou mesmo?   (provável que sim  pro meu esquema de fazer 1 semestre e ver o que acho),Sou o sexto nome na lista de espera do IFB pro tecnólogo em Sistemas para Internet   Acho bem provável me convocarem em segunda chamada   A pergunta agora é: vou mesmo?   (provável que sim  pro meu esquema de fazer 1 semestre e ver o que acho)
Vem ver o resultado final dos cursos superiores do IFB Campus Brasília.  Acesse https://t. co/toNkcMYIfI https://t. co/nebldWXewJ,Vem ver o resultado final dos cursos superiores do IFB Campus Brasília.  Acesse https://t. co/toNkcMYIfI https://t. co/nebldWXewJ
